"Rank","Player","Team","Positions","NFBC","CBS","RTS","ESPN","Yahoo","FT","AVG"
"1","Ronald Acuna Jr.","ATL","RF","1","1","1","1","2","1","1.0"
"2","Julio Rodriguez","SEA","CF","3","4","2","18","3","2","2.8"
"3","Mookie Betts","LAD","SS","4","3","4","2","4","3","3.6"
"4","Bobby Witt Jr.","KC","SS","2","2","3","12","1","12","4.0"
"5","Corbin Carroll","ARI","CF,RF","5","5","5","10","5","4","4.8"
"6","Kyle Tucker","LAD","RF,DH","6","8","6","6","7","8","6.6"
"7","Freddie Freeman","LAD","1B","9","7","7","5","6","10","6.8"
"8","Spencer Strider","ATL","SP","7","9","10","4","13","6","7.2"
"9","Juan Soto","NYM","LF,RF,DH","10","6","8","3","8","5","7.4"
"10","Fernando Tatis Jr.","SD","2B,RF","8","10","9","16","9","9","9.0"
"11","Aaron Judge","NYY","LF,CF,RF,DH","11","12","11","14","10","7","11.6"
"12","Shohei Ohtani","LAD","SP,DH","13","11","12","8","","11","11.6"
"13","Shohei Ohtani (Batter)","LAD","DH","","","","","11","15","13.4"
"14","Matt Olson","ATL","1B","15","14","14","9","12","13","13.6"
"15","Trea Turner","PHI","SS","12","13","13","22","14","16","13.6"
"16","Jose Ramirez","CLE","3B,DH","14","16","15","7","16","14","15.0"
"17","Yordan Alvarez","HOU","LF,DH","16","15","16","11","15","17","15.8"
"18","Bryce Harper","PHI","1B","17","17","18","26","17","19","17.6"
"19","Austin Riley","ATL","3B","18","18","17","32","18","18","17.8"
"20","Corbin Burnes","ARI","SP","20","21","19","15","19","20","19.8"
"21","Rafael Devers","SF","1B,DH","21","19","21","19","20","23","20.0"
"22","Ozzie Albies","ATL","2B","19","23","20","24","22","24","22.6"
"23","Pete Alonso","BAL","1B,DH","25","22","22","35","21","26","23.2"
"24","Francisco Lindor","NYM","SS","23","20","23","34","26","29","24.2"
"25","Corey Seager","TEX","SS","24","24","26","30","27","21","24.4"
"26","Marcus Semien","NYM","2B","27","27","25","20","23","22","24.8"
"27","Zack Wheeler","PHI","SP","26","25","24","13","24","28","25.4"
"28","Elly De La Cruz","CIN","SS","22","30","27","72","28","27","26.8"
"29","Vladimir Guerrero Jr.","TOR","1B,DH","28","26","28","21","25","31","27.6"
"30","Gunnar Henderson","BAL","SS","29","31","29","40","30","33","30.4"
"31","Kevin Gausman","TOR","SP","33","42","33","27","38","25","31.2"
"32","Luis Castillo","SEA","SP","32","29","31","17","34","32","31.6"
"33","Luis Robert Jr.","NYM","CF","31","32","32","64","36","38","33.8"
"34","Michael Harris II","ATL","CF","30","33","30","54","31","46","34.0"
"35","Jose Altuve","HOU","2B,LF,DH","35","28","41","38","29","36","35.8"
"36","Yoshinobu Yamamoto","LAD","SP","43","37","36","31","35","48","36.4"
"37","Adolis Garcia","PHI","RF","40","40","34","78","32","37","36.6"
"38","Bo Bichette","NYM","3B,SS","34","34","39","52","33","43","36.6"
"39","Zac Gallen","ARI","SP","39","36","35","23","44","30","36.8"
"40","Pablo Lopez","MIN","SP","38","35","37","25","42","35","37.4"
"41","George Kirby","SEA","SP","37","45","38","36","43","40","38.8"
"42","Randy Arozarena","SEA","LF,CF","42","44","42","68","37","42","41.4"
"43","Tyler Glasnow","LAD","SP","41","43","43","37","39","41","41.4"
"44","Adley Rutschman","BAL","C","46","51","40","29","41","44","44.4"
"45","Logan Webb","SF","SP","53","46","46","28","47","39","46.2"
"46","CJ Abrams","WSH","SS","36","49","44","125","40","65","46.8"
"47","Tarik Skubal","DET","SP","47","41","47","49","46","47","47.2"
"48","Aaron Nola","PHI","SP","52","56","48","39","48","45","49.8"
"49","Manny Machado","SD","3B","54","39","53","43","45","55","50.0"
"50","Max Fried","NYY","SP","60","54","49","45","49","54","50.2"
"51","Josh Hader","HOU","RP","48","52","50","53","51","83","50.8"
"52","Cody Bellinger","NYY","LF,CF,RF","51","47","52","70","52","59","52.2"
"53","Framber Valdez","DET","SP","57","48","51","33","58","50","52.8"
"54","Edwin Diaz","LAD","RP","45","55","58","55","53","85","53.2"
"55","Nolan Jones","CLE","LF,CF,RF","49","60","45","102","59","56","53.8"
"56","Royce Lewis","MIN","3B","44","50","56","95","62","60","54.4"
"57","Mike Trout","LAA","CF,RF,DH","59","38","55","67","50","49","56.0"
"58","Freddy Peralta","NYM","SP","55","59","60","42","55","52","56.2"
"59","Paul Goldschmidt","NYY","1B","72","57","66","50","54","58","57.0"
"60","Emmanuel Clase","CLE","RP","58","64","59","58","57","96","59.2"
"61","Oneil Cruz","PIT","CF","63","53","57","141","65","62","60.0"
"62","Nico Hoerner","CHC","2B","56","62","54","61","61","61","60.2"
"63","Kyle Schwarber","PHI","LF,DH","75","58","61","47","66","34","61.4"
"64","Jazz Chisholm Jr.","NYY","2B,3B","61","61","63","157","56","75","63.2"
"65","Logan Gilbert","SEA","SP","64","68","64","46","71","57","64.8"
"66","Grayson Rodriguez","LAA","SP","65","81","69","63","63","64","64.8"
"67","Camilo Doval","NYY","RP","62","77","67","51","70","101","65.4"
"68","Blake Snell","LAD","SP","66","67","62","77","67","51","67.8"
"69","Christian Yelich","MIL","LF,DH","68","65","65","81","60","92","67.8"
"70","Alex Bregman","CHC","3B","86","63","72","41","68","53","68.4"
"71","J.T. Realmuto","PHI","C","67","70","74","79","64","97","70.8"
"72","Christian Walker","HOU","1B","84","75","68","71","77","71","72.4"
"73","Bryan Reynolds","PIT","LF,CF,RF,DH","81","72","81","66","93","67","73.4"
"74","Bobby Miller","LAD","SP","73","74","71","91","73","76","73.4"
"75","Will Smith","LAD","C","74","79","75","44","72","70","74.0"
"76","Raisel Iglesias","ATL","RP","71","71","79","83","74","127","75.6"
"77","Zach Eflin","BAL","SP","78","76","77","74","69","74","75.8"
"78","Gleyber Torres","DET","2B","76","73","78","89","79","73","75.8"
"79","Gerrit Cole","NYY","SP","50","125","73","90","78","90","76.2"
"80","Ha-Seong Kim","ATL","2B,SS","77","85","70","92","76","80","77.6"
"81","Jesus Luzardo","PHI","SP","80","78","76","57","91","66","78.2"
"82","Nolan Arenado","ARI","3B","90","66","89","60","75","79","79.8"
"83","William Contreras","MIL","C,DH","69","83","84","65","84","84","80.8"
"84","Joe Ryan","MIN","SP","88","107","96","69","82","72","81.4"
"85","Matt McLain","CIN","2B","79","113","83","129","92","63","86.0"
"86","Xander Bogaerts","SD","SS","95","82","101","84","83","88","86.4"
"87","Alexis Diaz","TEX","RP","83","99","91","80","80","122","86.6"
"88","Dylan Cease","TOR","SP","102","86","93","56","88","68","87.4"
"89","Justin Steele","CHC","SP","98","84","87","73","97","69","87.8"
"90","Cole Ragans","KC","SP","89","69","85","87","94","86","88.2"
"91","Triston Casas","BOS","1B","91","87","92","110","95","81","89.2"
"92","Spencer Steer","CIN","1B,LF,RF","92","94","80","112","81","105","90.4"
"93","Jordan Romano","COL","RP","87","106","95","82","87","131","91.4"
"94","Josh Lowe","LAA","LF,CF,RF","85","95","86","167","110","91","93.4"
"95","David Bednar","NYY","RP","82","111","90","100","98","128","96.2"
"96","Ketel Marte","ARI","2B,DH","107","80","112","48","103","87","97.8"
"97","Nick Castellanos","SD","RF,DH","94","103","94","106","85","94","98.2"
"98","Joe Musgrove","SD","SP","101","93","99","88","105","93","98.2"
"99","Evan Carter","TEX","LF,CF,RF","113","92","98","96","96","77","99.0"
"100","George Springer","TOR","LF,CF,RF,DH","111","90","107","76","104","89","100.2"
"101","Jhoan Duran","PHI","RP","70","117","88","99","86","123","102.6"
"102","Evan Phillips","LAD","RP","109","89","104","124","89","194","103.0"
"103","Seiya Suzuki","CHC","LF,RF,DH","96","91","106","126","118","104","103.0"
"104","Andres Munoz","SEA","RP","99","101","111","107","101","170","103.8"
"105","Tanner Bibee","CLE","SP","110","97","108","111","90","99","105.0"
"106","Teoscar Hernandez","LAD","LF,RF","116","100","100","153","100","114","106.0"
"107","Bryson Stott","PHI","2B,SS","100","105","109","121","116","103","106.6"
"108","Yainer Diaz","HOU","C,DH","97","104","102","122","115","141","108.0"
"109","Lane Thomas","KC","LF,CF,RF","103","129","103","147","106","102","108.6"
"110","Dansby Swanson","CHC","SS","118","112","127","117","99","98","108.8"
"111","Paul Sewald","ARI","RP","93","119","122","116","108","156","111.6"
"112","Yandy Diaz","TB","1B,DH","122","110","118","62","107","113","114.0"
"113","Andres Gimenez","TOR","2B,SS","105","102","119","156","129","119","114.8"
"114","Josh Jung","TEX","3B","114","127","123","189","112","100","115.2"
"115","Pete Fairbanks","MIA","RP","106","108","120","123","120","183","115.4"
"116","Eury Perez","MIA","SP","104","157","115","182","125","78","115.8"
"117","Spencer Torkelson","DET","1B","112","115","110","138","111","82","117.2"
"118","Ryan Helsley","BAL","RP","115","122","121","131","102","185","118.2"
"119","Chris Bassitt","BAL","SP","130","124","113","86","114","112","118.6"
"120","Clay Holmes","NYM","SP","123","128","130","103","113","212","119.4"
"121","Jordan Walker","STL","LF,RF","108","126","117","188","128","118","119.4"
"122","Shane Bieber","TOR","SP","154","123","126","101","122","129","120.2"
"123","Anthony Santander","TOR","LF,RF,DH","133","120","116","97","135","111","123.0"
"124","Chris Sale","ATL","SP","134","109","128","94","117","136","124.8"
"125","Esteury Ruiz","MIA","LF,CF,RF","117","133","97","202","134","144","125.0"
"126","Sonny Gray","BOS","SP","127","144","124","134","123","125","126.6"
"127","Anthony Volpe","NYY","SS","124","142","133","185","119","117","127.0"
"128","Josh Naylor","SEA","1B,DH","119","98","129","135","130","126","127.8"
"129","Merrill Kelly","ARI","SP","144","121","125","85","141","110","128.2"
"130","Jackson Chourio","MIL","LF,CF,RF","132","96","114","211","140","166","129.6"
"131","Wyatt Langford","TEX","LF,CF","126","88","105","136","147","140","130.8"
"132","Christian Encarnacion-Strand","BAL","1B,3B","139","130","140","200","126","124","131.8"
"133","Hunter Greene","CIN","SP","136","131","151","105","138","107","132.6"
"134","Marcell Ozuna","PIT","DH","146","146","131","104","127","116","133.2"
"135","Salvador Perez","KC","C,1B,DH","120","141","132","155","131","187","135.8"
"136","Cal Raleigh","SEA","C,DH","131","163","139","128","150","135","136.6"
"137","Michael King","SD","SP","141","134","141","145","124","198","137.0"
"138","Craig Kimbrel","NYM","RP","138","136","138","140","133","235","137.0"
"139","Cedric Mullins II","TB","CF","140","138","136","143","132","108","137.8"
"140","Zack Gelof","ATH","2B,3B,CF","121","118","134","194","136","181","138.0"
"141","Tanner Scott","LAD","RP","128","153","135","127","153","207","139.2"
"142","Luis Arraez","SF","1B,2B,DH","158","116","137","59","121","165","139.4"
"143","Bailey Ober","MIN","SP","143","140","143","120","146","146","143.6"
"144","Riley Greene","DET","LF,CF,RF,DH","156","132","148","195","143","148","145.4"
"145","Max Muncy","LAD","3B","170","139","145","130","144","95","145.6"
"146","Mitch Keller","PIT","SP","164","151","144","98","166","115","148.0"
"147","Adbert Alzolay","NYM","RP","147","152","153","149","139","216","148.0"
"148","Devin Williams","NYM","RP","125","191","82","266","109","248","151.0"
"149","Chas McCormick","CHC","LF,CF,RF","157","155","142","212","165","137","151.2"
"150","Jose Berrios","TOR","SP","167","154","152","109","167","120","152.0"
"151","Jorge Soler","LAA","RF,DH","155","158","157","144","151","130","153.0"
"152","Justin Verlander","DET","SP","148","145","154","172","149","121","153.6"
"153","Sean Murphy","ATL","C","137","156","146","152","152","163","153.8"
"154","Jake Burger","TEX","1B","145","147","147","210","171","162","154.4"
"155","Yu Darvish","SD","SP","191","135","182","142","156","164","155.8"
"156","Ian Happ","CHC","LF","161","173","159","114","158","132","156.6"
"157","Alec Bohm","PHI","1B,3B","160","171","160","151","142","134","156.8"
"158","Kenley Jansen","DET","RP","152","167","169","169","137","228","158.8"
"159","Walker Buehler","SD","SP","168","178","168","139","148","109","160.2"
"160","Kodai Senga","NYM","SP","150","186","149","176","176","150","160.2"
"161","Cristian Javier","HOU","SP","175","160","170","119","160","147","162.4"
"162","Willson Contreras","BOS","1B","135","148","164","154","175","179","164.0"
"163","Carlos Rodon","NYY","SP","151","114","163","159","161","188","164.4"
"164","Vinnie Pasquantino","KC","1B,DH","169","137","174","158","168","153","164.4"
"165","Nathan Eovaldi","TEX","SP","197","150","187","161","177","152","165.4"
"166","Isaac Paredes","HOU","1B,3B","179","179","150","132","164","157","165.8"
"167","Thairo Estrada","","2B","129","149","171","187","155","169","166.2"
"168","Nolan Gorman","STL","2B,3B,DH","182","174","158","223","159","158","166.2"
"169","James Outman","MIN","LF,CF,RF","178","187","175","209","154","139","166.6"
"170","Jordan Montgomery","TEX","SP","163","168","165","164","173","151","166.6"
"171","Francisco Alvarez","NYM","C","142","164","162","166","162","180","166.8"
"172","Hunter Brown","HOU","SP","174","175","180","115","174","133","167.2"
"173","Masataka Yoshida","BOS","LF,DH","177","183","178","108","145","155","167.6"
"174","Gabriel Moreno","ARI","C","149","207","181","133","180","249","170.0"
"175","Jarren Duran","BOS","LF,CF,DH","159","161","156","201","203","174","170.2"
"176","Jose Alvarado","PHI","RP","194","143","177","163","178","291","171.0"
