player_id,player_name,eligible_positions,adp,points
Shohei_Ohtani_P,Shohei Ohtani_P,SP,1.0,633.38
Aaron_Judge_H,Aaron Judge_H,OF;Util,1.8,1197.8
Shohei_Ohtani_H,Shohei Ohtani_H,Util,2.0,1208.3
Bobby_Witt_Jr_H,Bobby Witt Jr._H,SS,3.6,1011.2
Juan_Soto_H,Juan Soto_H,OF;Util,3.6,1123.7
Jose_Ramirez_H,Jose Ramirez_H,3B;Util,5.4,935.1
Ronald_Acuna_Jr_H,Ronald Acuna Jr._H,OF,6.6,988.6
Tarik_Skubal_P,Tarik Skubal_P,SP,6.8,1157.32
Elly_De_La_Cruz_H,Elly De La Cruz_H,SS,7.8,888.4
Paul_Skenes_P,Paul Skenes_P,SP,9.0,1110.66
Julio_Rodriguez_H,Julio Rodriguez_H,OF,10.0,891.5
Kyle_Tucker_H,Kyle Tucker_H,OF;Util,10.8,931.3
Garrett_Crochet_P,Garrett Crochet_P,SP,12.0,1082.3
Fernando_Tatis_Jr_H,Fernando Tatis Jr._H,2B;OF,13.0,912.6
Corbin_Carroll_H,Corbin Carroll_H,OF,13.8,885.1
Cal_Raleigh_H,Cal Raleigh_H,C;Util,14.6,844.0
Gunnar_Henderson_H,Gunnar Henderson_H,SS,15.2,923.4
Junior_Caminero_H,Junior Caminero_H,3B,16.6,863.8
Vladimir_Guerrero_Jr_H,Vladimir Guerrero Jr._H,1B;Util,18.4,990.6
Nick_Kurtz_H,Nick Kurtz_H,1B,19.2,894.8
Kyle_Schwarber_H,Kyle Schwarber_H,OF;Util,21.0,930.3
Jackson_Chourio_H,Jackson Chourio_H,OF,21.2,813.4
Jazz_Chisholm_Jr_H,Jazz Chisholm Jr._H,2B;3B,21.4,738.6
Pete_Alonso_H,Pete Alonso_H,1B;Util,24.6,858.8
Yoshinobu_Yamamoto_P,Yoshinobu Yamamoto_P,SP,24.6,851.72
Francisco_Lindor_H,Francisco Lindor_H,SS,25.0,808.6
Ketel_Marte_H,Ketel Marte_H,2B;Util,26.6,849.9
Cristopher_Sanchez_P,Cristopher Sanchez_P,SP,26.8,1014.16
Trea_Turner_H,Trea Turner_H,SS,27.0,789.8
