player_id,player_name,eligible_positions,adp,points
Shohei_Ohtani_P,Shohei Ohtani_P,SP,1.0,431.1
Aaron_Judge_H,Aaron Judge_H,OF;Util,1.8,583.0
Shohei_Ohtani_H,Shohei Ohtani_H,Util,2.0,610.0
Bobby_Witt_Jr_H,Bobby Witt Jr._H,SS,3.6,533.0
Juan_Soto_H,Juan Soto_H,OF;Util,3.6,578.5
Jose_Ramirez_H,Jose Ramirez_H,3B;Util,5.4,519.0
Ronald_Acuna_Jr_H,Ronald Acuna Jr._H,OF,6.6,504.0
Tarik_Skubal_P,Tarik Skubal_P,SP,6.8,732.9
Elly_De_La_Cruz_H,Elly De La Cruz_H,SS,7.8,461.0
Paul_Skenes_P,Paul Skenes_P,SP,9.0,694.2
Julio_Rodriguez_H,Julio Rodriguez_H,OF,10.0,479.0
Kyle_Tucker_H,Kyle Tucker_H,OF;Util,10.8,510.5
Garrett_Crochet_P,Garrett Crochet_P,SP,12.0,706.5
Fernando_Tatis_Jr_H,Fernando Tatis Jr._H,2B;OF,13.0,481.5
Corbin_Carroll_H,Corbin Carroll_H,OF,13.8,480.5
Cal_Raleigh_H,Cal Raleigh_H,C;Util,14.6,454.0
Gunnar_Henderson_H,Gunnar Henderson_H,SS,15.2,484.5
Junior_Caminero_H,Junior Caminero_H,3B,16.6,470.5
Vladimir_Guerrero_Jr_H,Vladimir Guerrero Jr._H,1B;Util,18.4,519.5
Nick_Kurtz_H,Nick Kurtz_H,1B,19.2,452.5
Kyle_Schwarber_H,Kyle Schwarber_H,OF;Util,21.0,487.5
Jackson_Chourio_H,Jackson Chourio_H,OF,21.2,444.0
Jazz_Chisholm_Jr_H,Jazz Chisholm Jr._H,2B;3B,21.4,398.0
Pete_Alonso_H,Pete Alonso_H,1B;Util,24.6,463.0
Yoshinobu_Yamamoto_P,Yoshinobu Yamamoto_P,SP,24.6,567.4
Francisco_Lindor_H,Francisco Lindor_H,SS,25.0,451.0
Ketel_Marte_H,Ketel Marte_H,2B;Util,26.6,454.5
Cristopher_Sanchez_P,Cristopher Sanchez_P,SP,26.8,655.2
Trea_Turner_H,Trea Turner_H,SS,27.0,425.0
Yordan_Alvarez_H,Yordan Alvarez_H,OF;Util,30.2,447.5
Manny_Machado_H,Manny Machado_H,3B,30.4,425.0
Pete_Crow_Armstrong_H,Pete Crow-Armstrong_H,OF,30.4,409.0
James_Wood_H,James Wood_H,OF;Util,32.6,419.0
Zach_Neto_H,Zach Neto_H,SS,34.0,412.5
Bryan_Woo_P,Bryan Woo_P,SP,35.2,628.3
Matt_Olson_H,Matt Olson_H,1B,36.0,452.5
Hunter_Brown_P,Hunter Brown_P,SP,36.2,615.7
Bryce_Harper_H,Bryce Harper_H,1B,37.6,449.0
Chris_Sale_P,Chris Sale_P,SP,39.0,584.8
Logan_Gilbert_P,Logan Gilbert_P,SP,39.0,584.4
Brent_Rooker_H,Brent Rooker_H,OF;Util,41.4,455.0
Rafael_Devers_H,Rafael Devers_H,1B;Util,42.4,449.0
Mason_Miller_P,Mason Miller_P,RP,42.6,435.3
Wyatt_Langford_H,Wyatt Langford_H,OF,44.4,421.0
Max_Fried_P,Max Fried_P,SP,44.6,617.5
Brice_Turang_H,Brice Turang_H,2B,44.8,393.0
Logan_Webb_P,Logan Webb_P,SP,46.8,659.3
Mookie_Betts_H,Mookie Betts_H,SS,46.8,460.5
Roman_Anthony_H,Roman Anthony_H,OF;Util,47.2,397.5
Edwin_Diaz_P,Edwin Diaz_P,RP,47.4,441.9
Cole_Ragans_P,Cole Ragans_P,SP,50.0,567.4
Freddie_Freeman_H,Freddie Freeman_H,1B,50.4,452.5
Jacob_deGrom_P,Jacob deGrom_P,SP,50.6,557.7
Cody_Bellinger_H,Cody Bellinger_H,OF,55.2,416.0
Austin_Riley_H,Austin Riley_H,3B,55.8,405.5
William_Contreras_H,William Contreras_H,C;Util,56.0,400.5
Freddy_Peralta_P,Freddy Peralta_P,SP,56.4,561.4
Josh_Naylor_H,Josh Naylor_H,1B;Util,57.6,419.0
Geraldo_Perdomo_H,Geraldo Perdomo_H,SS,60.8,427.5
Jarren_Duran_H,Jarren Duran_H,OF;Util,61.4,401.0
Cade_Smith_P,Cade Smith_P,RP,62.8,418.2
Jhoan_Duran_P,Jhoan Duran_P,RP,62.8,406.1
Riley_Greene_H,Riley Greene_H,OF;Util,62.8,410.0
Maikel_Garcia_H,Maikel Garcia_H,2B;3B;SS;OF,64.4,416.0
George_Kirby_P,George Kirby_P,SP,64.8,566.2
Ben_Rice_H,Ben Rice_H,C;1B;Util,65.4,363.5
Jackson_Merrill_H,Jackson Merrill_H,OF,65.6,401.0
Andres_Munoz_P,Andres Munoz_P,RP,66.0,394.3
Shea_Langeliers_H,Shea Langeliers_H,C;Util,67.8,363.0
CJ_Abrams_H,CJ Abrams_H,SS,68.6,394.5
Dylan_Cease_P,Dylan Cease_P,SP,71.2,582.6
Byron_Buxton_H,Byron Buxton_H,OF;Util,72.0,373.0
Jesus_Luzardo_P,Jesus Luzardo_P,SP,72.6,600.9
