"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Rost%"
"Shohei Ohtani","LAD","SP,DH","118.7","143","9","0","3.37","1.11","44","93","39","14","23","23","5","1","100%"
"Tarik Skubal","DET","SP","193.3","234","14","0","2.72","0.98","58","149","40","19","31","31","7","1","99%"
"Paul Skenes","PIT","SP","186.4","221","13","0","2.80","1.04","58","147","48","15","31","31","7","1","99%"
"Garrett Crochet","BOS","SP","190.5","233","14","0","3.01","1.07","64","154","49","20","31","31","8","1","98%"
"Cristopher Sanchez","PHI","SP","192.4","189","13","0","3.19","1.15","68","173","47","16","31","31","8","1","99%"
"Yoshinobu Yamamoto","LAD","SP","159.8","174","12","0","3.28","1.12","58","130","48","16","27","27","6","0","99%"
"Hunter Brown","HOU","SP","179.9","194","12","0","3.44","1.18","69","153","59","19","31","31","8","1","93%"
"Chris Sale","ATL","SP","159.6","195","11","0","3.23","1.10","57","133","43","17","27","27","6","0","99%"
"Logan Gilbert","SEA","SP","167.8","187","11","0","3.37","1.06","63","138","40","22","29","29","7","1","97%"
"Bryan Woo","SEA","SP","187.1","189","13","0","3.40","1.06","71","157","40","24","31","31","9","0","99%"
"Logan Webb","SF","SP","198.1","189","13","0","3.27","1.17","72","187","45","16","32","32","9","1","92%"
"Cole Ragans","KC","SP","156.8","195","11","0","3.37","1.15","59","125","56","17","28","28","7","0","86%"
"Jacob deGrom","TEX","SP","162.9","180","11","0","3.48","1.06","63","134","39","22","28","28","8","0","99%"
"Max Fried","NYY","SP","183.5","173","14","0","3.31","1.17","68","161","54","17","30","30","8","1","99%"
"Mason Miller","SD","RP","65.1","101","4","33","2.52","0.99","18","39","25","6","63","0","2","0","99%"
"Freddy Peralta","NYM","SP","165.8","184","12","0","3.78","1.20","70","137","62","22","30","30","8","0","97%"
"Edwin Diaz","LAD","RP","65.3","90","5","37","3.04","1.06","22","47","23","7","64","0","2","0","76%"
"George Kirby","SEA","SP","171.4","168","12","0","3.55","1.11","68","156","33","21","30","30","8","0","98%"
"Jesus Luzardo","PHI","SP","177.3","198","12","0","3.66","1.18","72","154","55","22","31","31","9","0","94%"
"Joe Ryan","MIN","SP","168.4","185","11","0","3.80","1.11","71","146","40","25","29","29","9","0","97%"
"Dylan Cease","TOR","SP","170.2","200","11","0","3.67","1.21","69","142","64","20","31","31","9","0","99%"
"Framber Valdez","DET","SP","190.4","178","13","0","3.47","1.23","73","170","64","16","30","30","9","2","90%"
"Cade Smith","CLE","RP","69.4","89","5","31","2.89","1.07","22","53","21","6","70","0","3","0","97%"
"Andres Munoz","SEA","RP","63.1","80","4","32","2.90","1.12","20","45","25","5","64","0","3","0","92%"
"Jhoan Duran","PHI","RP","66.7","78","5","32","2.89","1.11","21","54","21","5","68","0","3","0","95%"
"Kyle Bradish","BAL","SP","142.3","153","9","0","3.59","1.19","57","123","45","16","26","27","7","0","78%"
"Eury Perez","MIA","SP","137.7","152","8","0","3.90","1.18","60","115","47","19","27","27","8","0","77%"
"Nolan McLean","NYM","SP","150.6","145","10","0","3.83","1.28","64","135","58","16","26","26","8","0","96%"
"Nick Pivetta","SD","SP","169.4","183","10","0","3.91","1.16","74","145","51","26","29","29","9","0","74%"
"Kevin Gausman","TOR","SP","179.2","176","12","0","3.94","1.21","78","165","53","24","30","30","9","1","97%"
"David Bednar","NYY","RP","63.3","77","4","33","3.25","1.12","23","49","21","7","64","0","3","0","90%"
"Aroldis Chapman","BOS","RP","59.8","83","4","31","3.00","1.14","20","42","26","5","62","0","3","0","95%"
"Devin Williams","NYM","RP","62.9","84","4","31","3.08","1.14","22","45","27","6","64","0","3","0","84%"
"Sonny Gray","BOS","SP","171.9","180","11","0","3.73","1.20","71","161","46","21","30","30","9","0","88%"
"Tyler Glasnow","LAD","SP","130.0","152","9","0","3.64","1.18","53","105","48","16","23","23","6","0","94%"
"Nathan Eovaldi","TEX","SP","162.4","156","11","0","3.62","1.14","65","144","41","19","27","27","8","1","90%"
"Jacob Misiorowski","MIL","SP","136.5","157","9","0","3.96","1.28","60","111","64","17","30","25","8","0","98%"
"Emmet Sheehan","LAD","SP","133.9","155","9","0","3.80","1.16","57","110","45","19","34","24","6","0","73%"
"Zack Wheeler","PHI","SP","141.2","160","10","0","3.27","1.08","51","115","37","16","23","23","6","0","96%"
"Michael King","SD","SP","157.0","164","10","0","3.84","1.24","67","139","56","20","28","29","8","1","92%"
"Brandon Woodruff","MIL","SP","145.6","154","10","0","3.76","1.14","61","126","40","20","26","27","8","0","80%"
"Nick Lodolo","CIN","SP","152.4","155","9","0","4.03","1.19","68","141","41","21","28","28","9","1","66%"
"Chase Burns","CIN","SP,RP","116.8","140","8","0","3.63","1.16","47","100","36","15","26","21","6","1","96%"
"Cam Schlittler","NYY","SP","126.7","127","8","0","4.02","1.29","57","114","49","15","24","24","7","0","98%"
"Luis Castillo","SEA","SP","177.9","167","11","0","3.88","1.19","77","162","50","25","30","30","9","0","64%"
"Ryan Helsley","BAL","RP","62.9","72","4","27","3.51","1.20","25","52","23","7","62","0","3","0","72%"
"Sandy Alcantara","MIA","SP","179.8","149","10","0","4.12","1.27","82","174","53","21","30","30","11","1","86%"
"Drew Rasmussen","TB","SP","154.9","140","10","0","3.64","1.17","63","140","41","18","30","30","8","0","88%"
"Daniel Palencia","CHC","RP","63.8","73","4","30","3.64","1.24","26","52","27","7","63","0","3","0","65%"
"Ryan Pepiot","TB","SP","167.6","171","10","0","4.05","1.22","75","145","60","24","31","31","10","0","39%"
"Raisel Iglesias","ATL","RP","64.7","69","4","27","3.62","1.14","26","56","17","8","66","0","3","0","89%"
"Spencer Strider","ATL","SP","154.5","183","10","0","3.95","1.21","68","134","54","20","27","27","8","0","90%"
"Jeff Hoffman","TOR","RP","62.7","75","4","26","3.64","1.17","25","50","23","8","64","0","3","0","52%"
"Blake Snell","LAD","SP","130.3","162","10","0","3.46","1.22","50","102","57","14","23","23","6","0","78%"
"MacKenzie Gore","TEX","SP","161.3","182","10","0","3.87","1.25","69","141","61","20","29","29","9","0","70%"
"Robbie Ray","SF","SP","170.9","176","10","0","4.17","1.28","79","153","66","24","30","30","10","1","79%"
"Ranger Suarez","BOS","SP","167.1","150","11","0","3.68","1.25","68","161","47","17","28","28","8","0","85%"
"Shota Imanaga","CHC","SP","154.6","142","10","0","4.09","1.15","70","144","35","27","27","27","8","0","94%"
