season,player,projected_points,primary_position,eligible_positions,adp
2021,2021_SP_248,703.19,SP,SP,1.0
2021,2021_SP_270,687.08,SP,SP,1.0
2021,2021_SP_276,681.86,SP,SP,1.0
2021,2021_SS_136,687.9,SS,SS,2.2
2021,2021_SP_277,653.03,SP,SP,3.4
2021,2021_1B_032,634.04,1B,1B,3.7
2021,2021_3B_098,582.78,3B,3B,6.2
2021,2021_3B_127,661.6,3B,3B;SS,6.4
2021,2021_OF_172,640.99,OF,OF,7.0
2021,2021_SP_255,560.13,SP,SP,7.9
2021,2021_3B_105,557.33,3B,3B,9.8
2021,2021_SP_324,588.81,SP,SP,10.5
2021,2021_SP_260,594.55,SP,SP,12.5
2021,2021_SP_269,526.56,SP,SP,12.7
2021,2021_SP_281,727.31,SP,SP,13.3
2021,2021_SS_139,597.77,SS,SS,14.7
2021,2021_SP_251,552.92,SP,SP;RP,14.8
2021,2021_SS_132,520.37,SS,SS,16.2
2021,2021_3B_109,568.64,3B,3B,17.3
2021,2021_RP_350,558.4,RP,RP,17.4
2021,2021_1B_043,557.78,1B,1B,17.8
2021,2021_2B_072,597.01,2B,2B,18.2
2021,2021_1B_030,605.39,1B,1B,19.5
2021,2021_2B_068,533.63,2B,2B,25.5
2021,2021_SS_131,540.7,SS,SS,26.2
2021,2021_RP_338,491.89,RP,RP;SP,27.9
2021,2021_3B_112,515.4,3B,3B;SS,28.0
2021,2021_1B_033,573.24,1B,1B,29.0
2021,2021_2B_082,530.04,2B,2B,29.6
2021,2021_SP_249,533.52,SP,SP;RP,30.6
2021,2021_SP_256,531.74,SP,SP;RP,31.2
2021,2021_SP_294,507.84,SP,SP,32.9
2021,2021_SP_298,564.5,SP,SP,33.8
2021,2021_OF_207,541.83,OF,OF,34.8
2021,2021_SP_283,568.94,SP,SP,36.0
2021,2021_1B_054,526.85,1B,1B,36.5
2021,2021_1B_034,579.83,1B,1B,38.0
2021,2021_SS_138,489.2,SS,SS,38.4
2021,2021_SP_291,557.26,SP,SP,38.7
2021,2021_SP_250,532.51,SP,SP,39.6
2021,2021_SP_312,529.82,SP,SP;RP,40.0
2021,2021_OF_173,590.6,OF,OF,40.7
2021,2021_SS_146,493.91,SS,SS,41.0
2021,2021_3B_106,522.87,3B,3B,41.8
2021,2021_OF_199,560.68,OF,OF,43.7
2021,2021_SS_135,530.37,SS,SS,43.8
2021,2021_OF_168,577.65,OF,OF;1B,44.1
2021,2021_SP_284,593.67,SP,SP,44.3
2021,2021_1B_038,525.01,1B,1B;OF,45.8
2021,2021_SS_143,548.35,SS,SS,45.8
2021,2021_SS_149,502.63,SS,SS,48.0
2021,2021_SP_272,503.13,SP,SP,48.3
2021,2021_2B_073,510.95,2B,2B,49.2
2021,2021_C_001,467.56,C,C,53.0
2021,2021_1B_039,475.94,1B,1B,53.2
2021,2021_SP_257,560.29,SP,SP,54.1
2021,2021_RP_336,527.42,RP,RP;SP,54.1
2021,2021_SP_286,517.99,SP,SP,55.2
2021,2021_OF_228,551.12,OF,OF,58.9
2021,2021_SS_140,502.07,SS,SS,59.4
2021,2021_SS_134,502.42,SS,SS,59.5
2021,2021_SS_158,506.99,SS,SS,60.9
2021,2021_SS_155,490.1,SS,SS,61.2
2021,2021_SS_148,520.5,SS,SS,61.5
2021,2021_RP_330,480.19,RP,RP;SP,61.9
2021,2021_1B_029,542.14,1B,1B,62.6
2021,2021_OF_181,585.52,OF,OF,63.7
2021,2021_OF_178,589.55,OF,OF,66.0
2021,2021_SS_142,512.3,SS,SS;3B,69.4
2021,2021_3B_108,499.83,3B,3B;SS,70.6
2021,2021_OF_188,505.34,OF,OF,71.1
2021,2021_OF_176,517.14,OF,OF,74.5
2021,2021_OF_196,574.32,OF,OF,76.4
2021,2021_OF_177,551.05,OF,OF,76.7
2021,2021_C_012,491.33,C,C,78.6
2021,2021_OF_167,508.43,OF,OF,79.1
2021,2021_SP_288,514.47,SP,SP,79.2
2021,2021_1B_031,530.0,1B,1B,80.1
2021,2021_SP_266,499.28,SP,SP,80.6
2021,2021_SP_259,499.95,SP,SP;RP,82.7
2021,2021_3B_107,495.23,3B,3B,82.9
2021,2021_SS_147,492.23,SS,SS,83.5
2021,2021_SS_156,522.43,SS,SS;3B,84.5
2021,2021_2B_071,480.73,2B,2B,85.5
2021,2021_1B_047,509.11,1B,1B,85.8
2021,2021_1B_040,536.87,1B,1B;3B,86.6
2021,2021_SP_253,551.83,SP,SP,88.6
2021,2021_1B_037,518.24,1B,1B,89.7
2021,2021_SP_261,508.52,SP,SP,90.1
2021,2021_SP_262,519.57,SP,SP;RP,90.2
2021,2021_2B_078,510.53,2B,2B,91.0
2021,2021_OF_201,490.72,OF,OF,91.1
2021,2021_SS_157,451.94,SS,SS,91.3
2021,2021_SS_151,460.69,SS,SS;2B,91.6
2021,2021_SP_254,504.3,SP,SP,91.9
2021,2021_SS_150,498.14,SS,SS,92.4
2021,2021_SS_144,482.35,SS,SS,95.9
2021,2021_SP_258,535.66,SP,SP,98.1
2021,2021_3B_100,504.38,3B,3B,98.4
2021,2021_SS_133,498.04,SS,SS,99.7
2021,2021_RP_340,476.28,RP,RP,100.7
2021,2021_1B_050,497.79,1B,1B,101.3
2021,2021_SP_271,496.95,SP,SP,102.2
2021,2021_SP_268,470.31,SP,SP,103.9
2021,2021_C_004,479.02,C,C,104.9
2021,2021_SP_252,536.14,SP,SP;RP,105.6
2021,2021_SS_145,492.11,SS,SS,105.9
2021,2021_OF_170,516.36,OF,OF,107.0
2021,2021_1B_044,532.12,1B,1B,110.4
2021,2021_SP_274,517.46,SP,SP,111.5
2021,2021_2B_080,503.95,2B,2B;OF,112.4
2021,2021_RP_367,464.91,RP,RP,112.5
2021,2021_SS_162,459.12,SS,SS,112.6
2021,2021_C_003,444.97,C,C,112.8
2021,2021_OF_183,536.98,OF,OF,113.5
2021,2021_SP_279,487.53,SP,SP,114.5
2021,2021_1B_060,470.78,1B,1B,115.5
2021,2021_1B_046,498.03,1B,1B,116.6
2021,2021_SP_264,498.78,SP,SP,118.7
2021,2021_SP_267,501.87,SP,SP,120.3
2021,2021_3B_129,526.27,3B,3B,120.6
2021,2021_1B_042,482.4,1B,1B,123.6
2021,2021_3B_103,534.97,3B,3B;SS,123.6
2021,2021_SP_290,498.86,SP,SP;RP,123.6
2021,2021_C_006,471.78,C,C,125.4
2021,2021_2B_069,480.38,2B,2B,125.5
2021,2021_RP_329,453.77,RP,RP,127.4
2021,2021_OF_209,571.11,OF,OF,128.0
2021,2021_C_021,452.86,C,C,128.1
2021,2021_C_002,459.73,C,C,128.2
2021,2021_3B_097,536.04,3B,3B;1B,129.4
2021,2021_3B_125,446.95,3B,3B,130.7
2021,2021_1B_059,503.28,1B,1B,132.1
2021,2021_RP_357,441.25,RP,RP,132.9
2021,2021_C_016,400.67,C,C,136.2
2021,2021_3B_124,479.81,3B,3B,136.9
2021,2021_RP_333,463.79,RP,RP,137.5
2021,2021_1B_036,495.52,1B,1B;OF,139.3
2021,2021_SS_141,488.7,SS,SS,139.3
2021,2021_RP_351,481.6,RP,RP,140.0
2021,2021_3B_111,460.53,3B,3B,140.9
2021,2021_C_005,435.91,C,C,142.4
2021,2021_3B_102,467.31,3B,3B,142.7
2021,2021_SP_247,483.92,SP,SP,143.1
2021,2021_C_023,442.85,C,C,143.4
2021,2021_1B_048,491.03,1B,1B,146.4
2021,2021_2B_065,480.06,2B,2B,148.4
2021,2021_3B_115,444.68,3B,3B,148.8
2021,2021_2B_067,460.9,2B,2B;OF,149.0
2021,2021_3B_126,460.31,3B,3B,149.2
2021,2021_OF_193,508.4,OF,OF,149.7
2021,2021_OF_171,487.55,OF,OF,150.9
2021,2021_1B_055,473.74,1B,1B,152.3
2021,2021_C_025,448.92,C,C,152.7
2021,2021_SP_263,491.22,SP,SP,154.0
2021,2021_RP_332,435.49,RP,RP,154.0
2021,2021_SS_152,437.08,SS,SS,155.0
2021,2021_RP_343,479.25,RP,RP,155.8
2021,2021_SP_280,467.88,SP,SP,159.3
2021,2021_SS_137,490.03,SS,SS,159.4
2021,2021_1B_045,472.6,1B,1B,160.7
2021,2021_3B_121,437.39,3B,3B,162.8
2021,2021_3B_122,447.77,3B,3B,162.9
2021,2021_SP_296,457.96,SP,SP,167.8
2021,2021_RP_331,425.14,RP,RP,168.0
2021,2021_OF_191,491.64,OF,OF,168.7
2021,2021_2B_089,414.89,2B,2B,169.1
2021,2021_SP_265,449.84,SP,SP,169.3
