scoring,season,team,strategy,objective,picks,status,remaining_slots
2026_fangraph,2026,1,DG,12533.279999999999,16,COMPLETE,
2026_fangraph,2026,12,DG,12294.58,16,COMPLETE,
2026_fangraph,2026,2,DG,12187.3,16,COMPLETE,
2026_fangraph,2026,3,DG,11853.220000000001,16,COMPLETE,
2026_fangraph,2026,5,DG,11714.96,16,COMPLETE,
2026_fangraph,2026,4,DG,11712.12,16,COMPLETE,
2026_fangraph,2026,6,DG,11697.42,16,COMPLETE,
2026_fangraph,2026,9,DG,11603.52,16,COMPLETE,
2026_fangraph,2026,7,DG,11603.119999999999,16,COMPLETE,
2026_fangraph,2026,10,DG,11600.800000000001,16,COMPLETE,
2026_fangraph,2026,8,DG,11572.98,16,COMPLETE,
2026_fangraph,2026,11,DG,11565.66,16,COMPLETE,
