scoring,season,team,strategy,objective,picks,status,remaining_slots
2026_fangraph,2026,1,OCG,12364.92,16,COMPLETE,
2026_fangraph,2026,2,OCG,12100.26,16,COMPLETE,
2026_fangraph,2026,3,OCG,12009.82,16,COMPLETE,
2026_fangraph,2026,4,OCG,11864.300000000001,16,COMPLETE,
2026_fangraph,2026,11,OCG,11796.8,16,COMPLETE,
2026_fangraph,2026,5,OCG,11763.66,16,COMPLETE,
2026_fangraph,2026,6,OCG,11698.96,16,COMPLETE,
2026_fangraph,2026,7,OCG,11682.1,16,COMPLETE,
2026_fangraph,2026,8,OCG,11630.28,16,COMPLETE,
2026_fangraph,2026,9,OCG,11625.0,16,COMPLETE,
2026_fangraph,2026,10,OCG,11587.52,16,COMPLETE,
2026_fangraph,2026,12,OCG,11511.84,16,COMPLETE,
