scoring,season,team,strategy,objective,picks,status,remaining_slots
2026_yahoo,2026,1,DG,15185.399999999998,16,COMPLETE,
2026_yahoo,2026,12,DG,14787.5,16,COMPLETE,
2026_yahoo,2026,2,DG,14753.0,16,COMPLETE,
2026_yahoo,2026,3,DG,14424.400000000001,16,COMPLETE,
2026_yahoo,2026,7,DG,14233.5,16,COMPLETE,
2026_yahoo,2026,8,DG,14228.4,16,COMPLETE,
2026_yahoo,2026,6,DG,14208.900000000001,16,COMPLETE,
2026_yahoo,2026,4,DG,14181.6,16,COMPLETE,
2026_yahoo,2026,9,DG,14179.099999999999,16,COMPLETE,
2026_yahoo,2026,10,DG,14161.8,16,COMPLETE,
2026_yahoo,2026,5,DG,14153.400000000001,16,COMPLETE,
2026_yahoo,2026,11,DG,14148.9,16,COMPLETE,
