scoring,season,team,strategy,objective,picks,status,remaining_slots
2026_yahoo,2026,1,OCG,14722.900000000001,16,COMPLETE,
2026_yahoo,2026,2,OCG,14708.9,16,COMPLETE,
2026_yahoo,2026,3,OCG,14534.2,16,COMPLETE,
2026_yahoo,2026,4,OCG,14424.599999999999,16,COMPLETE,
2026_yahoo,2026,12,OCG,14356.0,16,COMPLETE,
2026_yahoo,2026,11,OCG,14300.599999999999,16,COMPLETE,
2026_yahoo,2026,5,OCG,14292.8,16,COMPLETE,
2026_yahoo,2026,10,OCG,14289.2,16,COMPLETE,
2026_yahoo,2026,6,OCG,14242.3,16,COMPLETE,
2026_yahoo,2026,7,OCG,14201.3,16,COMPLETE,
2026_yahoo,2026,9,OCG,14157.699999999999,16,COMPLETE,
2026_yahoo,2026,8,OCG,14079.3,16,COMPLETE,
