scoring,season,team,strategy,objective,picks,status,remaining_slots
2026_fangraph,2026,2,OCG,12081.0,16,COMPLETE,
2026_fangraph,2026,1,OCG,12069.259999999998,16,COMPLETE,
2026_fangraph,2026,3,DG,11971.7,16,COMPLETE,
2026_fangraph,2026,4,OCG,11959.48,16,COMPLETE,
2026_fangraph,2026,5,OCG,11878.720000000001,16,COMPLETE,
2026_fangraph,2026,6,OCG,11744.86,16,COMPLETE,
2026_fangraph,2026,8,OCG,11703.84,16,COMPLETE,
2026_fangraph,2026,7,OCG,11686.480000000001,16,COMPLETE,
2026_fangraph,2026,12,OCG,11682.7,16,COMPLETE,
2026_fangraph,2026,9,OCG,11669.96,16,COMPLETE,
2026_fangraph,2026,10,OCG,11659.5,16,COMPLETE,
2026_fangraph,2026,11,OCG,11612.26,16,COMPLETE,
