scoring,season,team,strategy,objective,picks,status,remaining_slots
2026_yahoo,2026,1,OCG,14756.499999999998,16,COMPLETE,
2026_yahoo,2026,2,OCG,14529.2,16,COMPLETE,
2026_yahoo,2026,8,OCG,14380.2,16,COMPLETE,
2026_yahoo,2026,6,DG,14377.0,16,COMPLETE,
2026_yahoo,2026,3,OCG,14364.900000000001,16,COMPLETE,
2026_yahoo,2026,4,OCG,14347.699999999999,16,COMPLETE,
2026_yahoo,2026,10,OCG,14337.8,16,COMPLETE,
2026_yahoo,2026,11,OCG,14306.5,16,COMPLETE,
2026_yahoo,2026,9,OCG,14298.400000000001,16,COMPLETE,
2026_yahoo,2026,7,OCG,14291.6,16,COMPLETE,
2026_yahoo,2026,12,OCG,14222.900000000001,16,COMPLETE,
2026_yahoo,2026,5,OCG,14200.0,16,COMPLETE,
