scoring,season,dg_team,dg_objective,dg_rank,best_ocg_objective,dg_minus_best_ocg,draft_status,runtime_seconds
2026_fangraph,2026,1,12046.64,3,12200.759999999998,-154.11999999999898,COMPLETE,26.17469704199175
2026_fangraph,2026,2,12079.7,2,12109.259999999998,-29.55999999999767,COMPLETE,25.365882874990348
2026_fangraph,2026,3,11971.7,3,12081.0,-109.29999999999927,COMPLETE,25.348183166002855
2026_fangraph,2026,4,11986.220000000001,3,12081.0,-94.77999999999884,COMPLETE,25.548287416997482
2026_fangraph,2026,5,11982.400000000001,3,12081.0,-98.59999999999854,COMPLETE,25.47129558400775
2026_fangraph,2026,6,11981.3,3,12173.02,-191.72000000000116,COMPLETE,26.99881158299104
2026_fangraph,2026,7,11979.7,3,12097.619999999999,-117.91999999999825,COMPLETE,26.08354491701175
2026_fangraph,2026,8,11950.0,4,12116.04,-166.04000000000087,COMPLETE,26.290028000003076
2026_fangraph,2026,9,11966.02,4,12116.04,-150.02000000000044,COMPLETE,26.125714541994967
2026_fangraph,2026,10,11936.400000000001,4,12116.04,-179.63999999999942,COMPLETE,25.65568362499471
2026_fangraph,2026,11,11944.46,3,12160.26,-215.8000000000011,COMPLETE,25.576057250000304
2026_fangraph,2026,12,11941.5,4,12253.220000000001,-311.72000000000116,COMPLETE,25.586071999990963
2026_yahoo,2026,1,14348.5,6,14734.5,-386.0,COMPLETE,26.03807316700113
2026_yahoo,2026,2,14347.9,6,14735.1,-387.2000000000007,COMPLETE,26.12855733401375
2026_yahoo,2026,3,14351.8,6,14756.499999999998,-404.6999999999989,COMPLETE,26.128874500005622
2026_yahoo,2026,4,14356.599999999999,6,14756.499999999998,-399.89999999999964,COMPLETE,26.93778766700416
2026_yahoo,2026,5,14378.0,4,14756.499999999998,-378.4999999999982,COMPLETE,26.07376541699341
2026_yahoo,2026,6,14377.0,4,14756.499999999998,-379.4999999999982,COMPLETE,26.575565000006463
2026_yahoo,2026,7,14365.1,4,14756.499999999998,-391.3999999999978,COMPLETE,29.201710791996447
2026_yahoo,2026,8,14304.900000000001,8,14605.699999999999,-300.79999999999745,COMPLETE,29.664838416007115
2026_yahoo,2026,9,14344.6,7,14756.499999999998,-411.8999999999978,COMPLETE,26.273060624997015
2026_yahoo,2026,10,14304.099999999999,9,14756.499999999998,-452.39999999999964,COMPLETE,26.11892049999733
2026_yahoo,2026,11,14271.3,10,14695.3,-424.0,COMPLETE,25.729926333995536
2026_yahoo,2026,12,14268.8,10,14695.3,-426.5,COMPLETE,25.57862474999274
