scoring,season,team,strategy,objective,picks,status,remaining_slots
2026_yahoo,2026,1,OCG,15147.9,16,COMPLETE,
2026_yahoo,2026,2,DG,15013.6,16,COMPLETE,
2026_yahoo,2026,3,DG,14682.699999999999,16,COMPLETE,
2026_yahoo,2026,4,DG,14338.900000000001,16,COMPLETE,
2026_yahoo,2026,8,DG,14243.1,16,COMPLETE,
2026_yahoo,2026,7,DG,14223.599999999999,16,COMPLETE,
2026_yahoo,2026,11,DG,14196.8,16,COMPLETE,
2026_yahoo,2026,12,DG,14178.900000000001,16,COMPLETE,
2026_yahoo,2026,10,DG,14174.900000000001,16,COMPLETE,
2026_yahoo,2026,9,DG,14173.400000000001,16,COMPLETE,
2026_yahoo,2026,5,DG,14166.9,16,COMPLETE,
2026_yahoo,2026,6,DG,14131.6,16,COMPLETE,
