scoring,season,ocg_team,ocg_objective,ocg_rank,best_dg_objective,ocg_minus_best_dg,draft_status,runtime_seconds
2026_fangraph,2026,1,12288.68,2,12384.619999999999,-95.93999999999869,COMPLETE,5.285912082996219
2026_fangraph,2026,2,12409.98,1,12392.14,17.840000000000146,COMPLETE,5.424260749990935
2026_fangraph,2026,3,12404.24,1,12392.14,12.100000000000364,COMPLETE,5.597315333987353
2026_fangraph,2026,4,12413.88,1,12392.14,21.73999999999978,COMPLETE,5.335679958996479
2026_fangraph,2026,5,12413.34,1,12392.14,21.200000000000728,COMPLETE,5.350825415996951
2026_fangraph,2026,6,12424.0,1,12392.14,31.860000000000582,COMPLETE,5.278326625004411
2026_fangraph,2026,7,12376.74,2,12392.34,-15.600000000000364,COMPLETE,5.236147749994416
2026_fangraph,2026,8,12370.82,2,12392.34,-21.520000000000437,COMPLETE,5.206469875003677
2026_fangraph,2026,9,12381.7,2,12392.34,-10.639999999999418,COMPLETE,5.14101579101407
2026_fangraph,2026,10,12383.82,2,12392.34,-8.520000000000437,COMPLETE,5.165311667005881
2026_fangraph,2026,11,12428.64,1,12392.34,36.29999999999927,COMPLETE,5.053819959008251
2026_fangraph,2026,12,12414.580000000002,1,12392.34,22.2400000000016,COMPLETE,5.0196122500055935
2026_yahoo,2026,1,15147.9,1,15013.6,134.29999999999927,COMPLETE,5.786803000009968
2026_yahoo,2026,2,15184.599999999999,1,15009.3,175.29999999999927,COMPLETE,5.525769333995413
2026_yahoo,2026,3,15194.5,1,15009.3,185.20000000000073,COMPLETE,5.6222372080083005
2026_yahoo,2026,4,15193.8,1,15009.3,184.5,COMPLETE,6.138466834003339
2026_yahoo,2026,5,15195.7,1,15009.3,186.40000000000146,COMPLETE,5.501836707990151
2026_yahoo,2026,6,15198.5,1,15009.3,189.20000000000073,COMPLETE,5.33987595900544
2026_yahoo,2026,7,15219.599999999999,1,15009.3,210.29999999999927,COMPLETE,5.305518541994388
2026_yahoo,2026,8,15223.899999999998,1,15009.3,214.59999999999854,COMPLETE,5.3406704170047306
2026_yahoo,2026,9,15142.3,1,15007.400000000001,134.89999999999782,COMPLETE,5.406083666995983
2026_yahoo,2026,10,15148.3,1,15007.400000000001,140.89999999999782,COMPLETE,5.355164541993872
2026_yahoo,2026,11,15141.400000000001,1,15007.400000000001,134.0,COMPLETE,5.13345091600786
2026_yahoo,2026,12,15141.1,1,15007.400000000001,133.6999999999989,COMPLETE,5.07705341700057
