approx_variable_count,num_players,roster_size,roster_scale,num_teams,player_demand_ratio,status,cases,mean_runtime_seconds,mean_mip_gap,mean_best_bound,mean_objective
4992,192,16,1,12,1,OPTIMAL,5,0.02143716812133786,0.0,7680.0740000000005,7680.0740000000005
14976,576,16,1,12,3,OPTIMAL,5,0.06888217926025383,0.0,9237.026000000002,9237.026000000002
16128,384,32,2,12,1,OPTIMAL,5,0.058877038955688424,0.0,14282.060000000001,14282.060000000001
33408,576,48,3,12,1,OPTIMAL,5,0.10838689804077144,0.0,21027.054,21027.054
48384,1152,32,2,12,3,OPTIMAL,5,0.2841033458709717,0.0,17787.945999999996,17787.945999999996
49920,1920,16,1,12,10,OPTIMAL,5,0.35580697059631344,0.0,10264.924,10264.924
100224,1728,48,3,12,3,OPTIMAL,5,0.45445976257324217,0.0,26330.569999999996,26330.569999999996
161280,3840,32,2,12,10,OPTIMAL,5,0.9148184299468994,0.0,20180.408,20180.408
334080,5760,48,3,12,10,OPTIMAL,8,3.837701201438904,0.0,31214.734999999997,31214.734999999997
710400,9600,64,4,15,10,OPTIMAL,3,6.498102982838948,0.0,43623.21,43623.21
2289600,21600,96,6,15,15,OPTIMAL,1,41.131316900253296,0.0,68240.99000000002,68240.99000000002
10880000,64000,160,10,20,20,OPTIMAL,1,299.4303169250488,0.0,116714.32000000004,116714.32000000004
