level,method,approx_variable_count,num_players,roster_size,runtime_seconds,runtime_display,status,cases,note
N4_scaling,ADP-aware ILP,4992,192,16,0.0214371681213378,0.021s,OPTIMAL,5,
N4_scaling,Opportunity Cost Greedy,4992,192,16,0.0110688334001679,0.011s,OPTIMAL,5,
N4_scaling,Direct Greedy,4992,192,16,0.0099482667999836,0.010s,OPTIMAL,5,
N4_scaling,ADP-aware ILP,14976,576,16,0.0688821792602538,0.069s,OPTIMAL,5,
N4_scaling,Opportunity Cost Greedy,14976,576,16,0.0300163584000983,0.030s,OPTIMAL,5,
N4_scaling,Direct Greedy,14976,576,16,0.0271814584000821,0.027s,OPTIMAL,5,
N4_scaling,ADP-aware ILP,16128,384,32,0.0588770389556884,0.059s,OPTIMAL,5,
N4_scaling,Opportunity Cost Greedy,16128,384,32,0.0220169998001437,0.022s,OPTIMAL,5,
N4_scaling,Direct Greedy,16128,384,32,0.0186570333999042,0.019s,OPTIMAL,5,
N4_scaling,ADP-aware ILP,33408,576,48,0.1083868980407714,0.108s,OPTIMAL,5,
N4_scaling,Opportunity Cost Greedy,33408,576,48,0.0314930414000627,0.031s,OPTIMAL,5,
N4_scaling,Direct Greedy,33408,576,48,0.0267872166001324,0.027s,OPTIMAL,5,
N4_scaling,ADP-aware ILP,48384,1152,32,0.2841033458709717,0.284s,OPTIMAL,5,
N4_scaling,Opportunity Cost Greedy,48384,1152,32,0.0613715747998866,0.061s,OPTIMAL,5,
N4_scaling,Direct Greedy,48384,1152,32,0.0543429002002085,0.054s,OPTIMAL,5,
N4_scaling,ADP-aware ILP,49920,1920,16,0.3558069705963134,0.356s,OPTIMAL,5,
N4_scaling,Opportunity Cost Greedy,49920,1920,16,0.0936061252003127,0.094s,OPTIMAL,5,
N4_scaling,Direct Greedy,49920,1920,16,0.0920144834002712,0.092s,OPTIMAL,5,
N4_scaling,ADP-aware ILP,100224,1728,48,0.4544597625732421,0.454s,OPTIMAL,5,
N4_scaling,Opportunity Cost Greedy,100224,1728,48,0.0848313168002277,0.085s,OPTIMAL,5,
N4_scaling,Direct Greedy,100224,1728,48,0.0828276250000271,0.083s,OPTIMAL,5,
N4_scaling,ADP-aware ILP,161280,3840,32,0.9148184299468994,0.915s,OPTIMAL,5,
N4_scaling,Opportunity Cost Greedy,161280,3840,32,0.2082752000000254,0.208s,OPTIMAL,5,
N4_scaling,Direct Greedy,161280,3840,32,0.2087898832000064,0.209s,OPTIMAL,5,
stress_small / N4 largest,ADP-aware ILP,334080,5760,48,3.649998108545939,3.650s,OPTIMAL,6,
stress_small / N4 largest,Opportunity Cost Greedy,334080,5760,48,0.3906549339996369,0.391s,OPTIMAL,6,
stress_small / N4 largest,Direct Greedy,334080,5760,48,0.354368476309143,0.354s,OPTIMAL,6,
stress_medium,ADP-aware ILP,710400,9600,64,12.230124950408936,12.230s,OPTIMAL,1,
stress_medium,Opportunity Cost Greedy,710400,9600,64,1.143684753216803,1.144s,OPTIMAL,1,
stress_medium,Direct Greedy,710400,9600,64,0.9509514919482172,0.951s,OPTIMAL,1,
stress_large,ADP-aware ILP,2289600,21600,96,54.266928911209106,54.267s,OPTIMAL,1,
stress_large,Opportunity Cost Greedy,2289600,21600,96,2.3439084389247,2.344s,OPTIMAL,1,
stress_large,Direct Greedy,2289600,21600,96,1.9806453082710505,1.981s,OPTIMAL,1,
stress_xlarge,ADP-aware ILP,10880000,64000,160,276.8947420120239,276.895s,OPTIMAL,1,
stress_xlarge,Opportunity Cost Greedy,10880000,64000,160,10.360181841999292,10.360s,OPTIMAL,1,
stress_xlarge,Direct Greedy,10880000,64000,160,6.1715877200476825,6.172s,OPTIMAL,1,
timeout_target,ADP-aware ILP,49029120,184320,256,1869.8054787889123,1869.805s,PARTIAL_OR_INFEASIBLE,1,
timeout_target,ADP-aware ILP,49029120,184320,256,,> monitoring window; interrupted,MANUAL_INTERRUPT_NO_OUTPUT,1,No benchmark_results.csv was produced before manual interruption.
timeout_target,Opportunity Cost Greedy,49029120,184320,256,23.285587834194303,23.286s,OPTIMAL,1,
timeout_target,Direct Greedy,49029120,184320,256,17.759686089586467,17.760s,OPTIMAL,1,
