method,approx_variable_count,num_players,roster_size,roster_scale,num_teams,player_demand_ratio,mean_runtime_seconds,median_runtime_seconds,mean_objective,mean_optimal_gap_pct,mean_mip_gap,optimal_cases,cases
ADP-aware ILP,4992,192,16,1,12,1,0.02143716812133786,0.0191190242767334,7680.0740000000005,,0.0,5,5
Direct Greedy,4992,192,16,1,12,1,0.00994826679998366,0.0099902080000902,7056.045999999999,0.08132625617422205,,5,5
Opportunity Cost Greedy,4992,192,16,1,12,1,0.0110688334001679,0.0111229170006481,7449.161999999999,0.030150417583849076,,5,5
ADP-aware ILP,14976,576,16,1,12,3,0.06888217926025383,0.0702190399169921,9237.026000000002,,0.0,5,5
Direct Greedy,14976,576,16,1,12,3,0.02718145840008216,0.026901333000751,8725.192,0.05541673063576376,,5,5
Opportunity Cost Greedy,14976,576,16,1,12,3,0.030016358400098357,0.0297078749999855,9054.514,0.01973696957388412,,5,5
ADP-aware ILP,16128,384,32,2,12,1,0.058877038955688424,0.0595631599426269,14282.060000000001,,0.0,5,5
Direct Greedy,16128,384,32,2,12,1,0.01865703339990428,0.0184881249997488,13332.428,0.06645716447705723,,5,5
Opportunity Cost Greedy,16128,384,32,2,12,1,0.02201699980014378,0.022156332999657,13930.579999999998,0.02459242953005998,,5,5
ADP-aware ILP,33408,576,48,3,12,1,0.10838689804077144,0.107692003250122,21027.054,,0.0,5,5
Direct Greedy,33408,576,48,3,12,1,0.026787216600132457,0.026681209000344,20013.167999999998,0.04824427219844698,,5,5
Opportunity Cost Greedy,33408,576,48,3,12,1,0.03149304140006276,0.0315326250001817,20461.466,0.026907932217997678,,5,5
ADP-aware ILP,48384,1152,32,2,12,3,0.2841033458709717,0.2795650959014892,17787.945999999996,,0.0,5,5
Direct Greedy,48384,1152,32,2,12,3,0.0543429002002085,0.053641334000531,17335.002,0.025478584077059118,,5,5
Opportunity Cost Greedy,48384,1152,32,2,12,3,0.061371574799886676,0.05939833299999,17598.397999999997,0.010658153544097198,,5,5
ADP-aware ILP,49920,1920,16,1,12,10,0.35580697059631344,0.3111050128936767,10264.924,,0.0,5,5
Direct Greedy,49920,1920,16,1,12,10,0.09201448340027124,0.0870164590005515,9916.134,0.0339077844257311,,5,5
Opportunity Cost Greedy,49920,1920,16,1,12,10,0.09360612520031278,0.0939279170006557,10138.432,0.01230361104540784,,5,5
ADP-aware ILP,100224,1728,48,3,12,3,0.45445976257324217,0.4601588249206543,26330.569999999996,,0.0,5,5
Direct Greedy,100224,1728,48,3,12,3,0.08282762500002716,0.0786056249999092,25725.82,0.022961076163096,,5,5
Opportunity Cost Greedy,100224,1728,48,3,12,3,0.08483131680022774,0.0845142080006553,26096.904000000002,0.00886600764531994,,5,5
ADP-aware ILP,161280,3840,32,2,12,10,0.9148184299468994,0.9433729648590088,20180.408,,0.0,5,5
Direct Greedy,161280,3840,32,2,12,10,0.2087898832000064,0.1712377920002836,19708.608,0.02337251371831548,,5,5
Opportunity Cost Greedy,161280,3840,32,2,12,10,0.20827520000002547,0.1996090829998138,20017.608,0.008058376826843119,,5,5
ADP-aware ILP,334080,5760,48,3,12,10,3.837701201438904,3.666999936103821,31214.734999999997,,0.0,8,8
Direct Greedy,334080,5760,48,3,12,10,0.29081102625002586,0.2555704794999656,30544.72375,0.02130243070063895,,8,8
Opportunity Cost Greedy,334080,5760,48,3,12,10,0.29389673424975626,0.27875372899961803,30959.9275,0.0079635316774181,,8,8
ADP-aware ILP,710400,9600,64,4,15,10,6.498102982838948,6.550538063049316,43623.21,,0.0,3,3
Direct Greedy,710400,9600,64,4,15,10,0.4179818749998958,0.4155332909995195,42923.973333333335,0.016029623229794097,,3,3
Opportunity Cost Greedy,710400,9600,64,4,15,10,0.44945919466711826,0.4487042920009116,43292.1,0.0075933042350948,,3,3
ADP-aware ILP,2289600,21600,96,6,15,15,41.131316900253296,41.131316900253296,68240.99000000002,,0.0,1,1
Direct Greedy,2289600,21600,96,6,15,15,0.9257984719994662,0.9264668750001874,67920.91333333333,,,3,3
Opportunity Cost Greedy,2289600,21600,96,6,15,15,1.008363263666979,1.0061542500006908,68229.40666666666,,,3,3
ADP-aware ILP,10880000,64000,160,10,20,20,299.4303169250488,299.4303169250488,116714.32000000004,,0.0,1,1
Direct Greedy,10880000,64000,160,10,20,20,2.705378347332953,2.7141651670008287,116537.21999999999,,,3,3
Opportunity Cost Greedy,10880000,64000,160,10,20,20,2.9647524723332026,2.941162249999252,116696.83333333333,,,3,3
Direct Greedy,49029120,184320,256,16,24,30,8.744154749666754,8.30741024999952,192120.91,,,3,3
Opportunity Cost Greedy,49029120,184320,256,16,24,30,9.381416180332964,9.178466749999645,192223.28000000003,,,3,3
