scenario,description,cases,mean_objective_DG,std_objective_DG,mean_objective_OCG,std_objective_OCG,mean_improve_gap_ratio_pct,std_improve_gap_ratio_pct,ratio_from_means_pct,source_path,delta_filter
S1,"Baseline (Normal / Roster-Ratio / 3:1 / (0,30))",10,8786.931,222.3301124429367,9051.306,199.30094319897225,3.0234434785144453,1.3403840980061055,3.00872966909607,experiments/synthetic/N1_baseline/summary/benchmark_results.csv,
S2,Value: Uniform,10,11069.311000000002,168.34877899105092,11275.639,158.05781582488518,1.8674780638870891,0.6519376659834226,1.8639642521562334,experiments/synthetic/N2_points_distribution/uniform/summary/benchmark_results.csv,
S3,Value: Star-Heavy / High-Low,10,8369.516,265.1459496704912,8876.303,289.24663105884076,6.102962541122445,3.457411446446446,6.0551530100426385,experiments/synthetic/N2_points_distribution/high_low/summary/benchmark_results.csv,
S4,Pos: Random / Uniform-by-Type,10,8666.799,202.8544818583015,9014.534000000001,210.216345077584,4.015241975109736,0.8240267290704518,4.012265658866677,experiments/synthetic/N3_position_distribution/uniform_by_type/summary/benchmark_results.csv,
S5,Pos: Versatile / Value-Correlation,10,8647.779,166.90031558787828,9017.25,224.18088807429115,4.274924499423873,1.8281219515717324,4.272438044496737,experiments/synthetic/N3_position_distribution/point_flexible/summary/benchmark_results.csv,
S6,Pos: Rigid / Single-Position,10,8608.110999999999,253.03965826416336,8985.816,215.33555840955665,4.418081395041414,1.9508787268354104,4.387780315565189,experiments/synthetic/N3_position_distribution/single_position/summary/benchmark_results.csv,
S7,"Market: Rigid / (0,0)",10,8299.825,170.94453007075455,8382.293,157.9075685365054,0.9978722708293256,0.4995539347998825,0.9936113110818472,experiments/synthetic/N5_clean_rerun/sigma0_delta0/summary/benchmark_results.csv,
S8,"Market: Mild Noise / (0,60)",10,9191.016,244.51318252124312,9495.583,219.42961660987228,3.3306235874264387,1.4308728020141899,3.313746815368409,experiments/synthetic/N5_clean_rerun/sigma60_delta0/summary/benchmark_results.csv,
S9,"Market: Chaotic / (-5,30)",10,8701.324,229.42171093619046,8981.085,183.3146492448917,3.236482218772083,1.398700171040334,3.215154383401866,experiments/synthetic/N5_clean_rerun/sigma30_delta_grid/summary/benchmark_results.csv,-5.0
S10,"Market: Chaotic / (+5,30)",10,8855.942,248.96199749270133,9222.685000000001,240.7592103349545,4.155497795045476,1.497264304882422,4.141208241878755,experiments/synthetic/N5_clean_rerun/sigma30_delta_grid/summary/benchmark_results.csv,5.0
S11,"Market: Chaotic / (-10,30)",10,8637.059,235.05079613895285,8886.069,192.84749653835564,2.907838848162872,1.7084154545182515,2.8830415538437357,experiments/synthetic/N5_clean_rerun/sigma30_delta_grid/summary/benchmark_results.csv,-10.0
S12,"Market: Chaotic / (+10,30)",10,8924.526,234.680628713435,9272.892000000002,171.82928587538356,3.92427794905081,1.0301192530518717,3.9034678144251225,experiments/synthetic/N5_clean_rerun/sigma30_delta_grid/summary/benchmark_results.csv,10.0
S13,"Load (High, 1:1)",10,6969.0830000000005,350.4891756784762,7440.743,349.05723023436866,6.824296808375337,3.1304897056591963,6.767891844594185,experiments/synthetic/N4_custom/s1_ratio1/summary/benchmark_results.csv,
S14,"Load (Low, 3:1)",10,8786.931,222.3301124429367,9051.306,199.30094319897225,3.0234434785144453,1.3403840980061055,3.00872966909607,experiments/synthetic/N4_custom/s1_ratio3/summary/benchmark_results.csv,
S15,"Load (Ultra-Low, 10:1)",10,9967.023,119.42202840254345,10185.939999999999,102.60879711040572,2.2013386536988957,0.8297666576823912,2.196413111517847,experiments/synthetic/N4_custom/s1_ratio10/summary/benchmark_results.csv,
