scenario,description,seed,objective_DG,objective_OCG,improve_gap_ratio_pct,source_path,delta_filter
S1,"Baseline (Normal / Roster-Ratio / 3:1 / (0,30))",0,8665.29,9018.77,4.079263359910627,experiments/synthetic/N1_baseline/summary/benchmark_results.csv,
S1,"Baseline (Normal / Roster-Ratio / 3:1 / (0,30))",1,8479.189999999999,8878.15,4.705166413301282,experiments/synthetic/N1_baseline/summary/benchmark_results.csv,
S1,"Baseline (Normal / Roster-Ratio / 3:1 / (0,30))",2,8767.36,9227.43,5.247531754142634,experiments/synthetic/N1_baseline/summary/benchmark_results.csv,
S1,"Baseline (Normal / Roster-Ratio / 3:1 / (0,30))",3,8908.869999999999,9122.01,2.3924470780245,experiments/synthetic/N1_baseline/summary/benchmark_results.csv,
S1,"Baseline (Normal / Roster-Ratio / 3:1 / (0,30))",4,8805.25,9026.21,2.509411998523598,experiments/synthetic/N1_baseline/summary/benchmark_results.csv,
S1,"Baseline (Normal / Roster-Ratio / 3:1 / (0,30))",5,8780.060000000001,9051.16,3.0876782163219674,experiments/synthetic/N1_baseline/summary/benchmark_results.csv,
S1,"Baseline (Normal / Roster-Ratio / 3:1 / (0,30))",6,9032.72,9289.89,2.847093677209081,experiments/synthetic/N1_baseline/summary/benchmark_results.csv,
S1,"Baseline (Normal / Roster-Ratio / 3:1 / (0,30))",7,8450.98,8606.61,1.8415615703740988,experiments/synthetic/N1_baseline/summary/benchmark_results.csv,
S1,"Baseline (Normal / Roster-Ratio / 3:1 / (0,30))",8,9168.9,9238.69,0.7611600082888992,experiments/synthetic/N1_baseline/summary/benchmark_results.csv,
S1,"Baseline (Normal / Roster-Ratio / 3:1 / (0,30))",9,8810.689999999999,9054.14,2.7631207090477674,experiments/synthetic/N1_baseline/summary/benchmark_results.csv,
S2,Value: Uniform,0,11221.96,11481.48,2.3126084926340895,experiments/synthetic/N2_points_distribution/uniform/summary/benchmark_results.csv,
S2,Value: Uniform,1,11074.28,11293.0,1.9750268188992812,experiments/synthetic/N2_points_distribution/uniform/summary/benchmark_results.csv,
S2,Value: Uniform,2,10961.39,11216.16,2.3242490231622126,experiments/synthetic/N2_points_distribution/uniform/summary/benchmark_results.csv,
S2,Value: Uniform,3,11018.87,11184.33,1.5016058815468294,experiments/synthetic/N2_points_distribution/uniform/summary/benchmark_results.csv,
S2,Value: Uniform,4,11340.41,11379.02,0.3404638809355269,experiments/synthetic/N2_points_distribution/uniform/summary/benchmark_results.csv,
S2,Value: Uniform,5,11027.740000000002,11187.240000000002,1.4463525618123023,experiments/synthetic/N2_points_distribution/uniform/summary/benchmark_results.csv,
S2,Value: Uniform,6,11259.88,11549.85,2.5752494697989783,experiments/synthetic/N2_points_distribution/uniform/summary/benchmark_results.csv,
S2,Value: Uniform,7,11012.24,11229.0,1.9683552120186285,experiments/synthetic/N2_points_distribution/uniform/summary/benchmark_results.csv,
S2,Value: Uniform,8,10751.91,11006.75,2.3701835301820804,experiments/synthetic/N2_points_distribution/uniform/summary/benchmark_results.csv,
S2,Value: Uniform,9,11024.43,11229.56,1.8606857678809625,experiments/synthetic/N2_points_distribution/uniform/summary/benchmark_results.csv,
S3,Value: Star-Heavy / High-Low,0,8335.14,8828.35,5.917237142987412,experiments/synthetic/N2_points_distribution/high_low/summary/benchmark_results.csv,
S3,Value: Star-Heavy / High-Low,1,8672.82,9079.87,4.69339845632679,experiments/synthetic/N2_points_distribution/high_low/summary/benchmark_results.csv,
S3,Value: Star-Heavy / High-Low,2,8849.66,8866.189999999999,0.1867868370084143,experiments/synthetic/N2_points_distribution/high_low/summary/benchmark_results.csv,
S3,Value: Star-Heavy / High-Low,3,8457.6,8658.2,2.3718312523647413,experiments/synthetic/N2_points_distribution/high_low/summary/benchmark_results.csv,
S3,Value: Star-Heavy / High-Low,4,7908.02,8547.02,8.08040445016578,experiments/synthetic/N2_points_distribution/high_low/summary/benchmark_results.csv,
S3,Value: Star-Heavy / High-Low,5,8447.53,9318.010000000002,10.30455056093321,experiments/synthetic/N2_points_distribution/high_low/summary/benchmark_results.csv,
